id_str,from_user,text,created_at,time,geo_coordinates,user_lang,in_reply_to_user_id_str,in_reply_to_screen_name,from_user_id_str,in_reply_to_status_id_str,source,profile_image_url,user_followers_count,user_friends_count,user_location,status_url,entities_str
1333822580638281730,asimilyasch,@muneebazartaj Great job by Pakistan army,Tue Dec 01 17:17:39 +0000 2020,01/12/2020 17:17:39,,,1177242374302523392,muneebazartaj,1235863781864960001,1333818680199815172,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://pbs.twimg.com/profile_images/1326558186736914434/M6jQmjca_normal.jpg,69,327,Riyadh ????,http://twitter.com/asimilyasch/statuses/1333822580638281730,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""muneebazartaj"",""name"":""Dr Muneeba Khan"",""id"":1177242374302523400,""id_str"":""1177242374302523392"",""indices"":[0,14]}],""urls"":[]}"
1333822384852373504,IshtanVelic,TRUE STORY HIS BABY PICTURE - DICK CUT HER CUT IT OFF WITH AND WITHOUT A DICK - WHOLE BODY OF SHAMPOO - EVERY DAY PULL STRINGS A JOB OR JOBS - ABORTION - DRUGS - 11 INDIA DOLLAR STORE DOWN TTHE STREET - WE WORK SAVINGS - BEAMED - JANE TRETHWAY  - PAKISTAN - DOLLAR STORE STUFF 6,Tue Dec 01 17:16:52 +0000 2020,01/12/2020 17:16:52,,,,,1333201648303427585,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://pbs.twimg.com/profile_images/1333204863224844294/_RphJ7cn_normal.jpg,,,,http://twitter.com/IshtanVelic/statuses/1333822384852373504,"{""hashtags"":[],""symbols"":[],""user_mentions"":[],""urls"":[]}"
1333822202920259595,MujahidRashedPK,@BBCHARDtalk @stephensackur Good job stephen for ripping him apart..whole pakistan hates him and his courrpt master nawaz sharif,Tue Dec 01 17:16:09 +0000 2020,01/12/2020 17:16:09,,,19717082,BBCHARDtalk,138656887,1333753268632248322,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/524265563824996352/ogvycnUo_normal.jpeg,197,471,"Dubai, United Arab Emirates",http://twitter.com/MujahidRashedPK/statuses/1333822202920259595,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""BBCHARDtalk"",""name"":""BBC HARDtalk"",""id"":19717082,""id_str"":""19717082"",""indices"":[0,12]},{""screen_name"":""stephensackur"",""name"":""Stephen Sackur"",""id"":236453099,""id_str"":""236453099"",""indices"":[13,27]}],""urls"":[]}"
1333820777393582080,Nash9979,"@palkisu Only if Indian media had done their job &amp; covered the farmers protest sincerely, only if media had the courage to ask tough questions to GOI, only if media stopped obsessing with China &amp; Pakistan and focused more on our internal issues, maybe then we would have not seen this day.",Tue Dec 01 17:10:29 +0000 2020,01/12/2020 17:10:29,,,49923337,palkisu,24575170,1333681921927180289,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,6,68,,http://twitter.com/Nash9979/statuses/1333820777393582080,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""palkisu"",""name"":""Palki Sharma"",""id"":49923337,""id_str"":""49923337"",""indices"":[0,8]}],""urls"":[]}"
1333819778771922946,GQAbbasi,"RT @AzharRa90291313: Kainat Tariq from Azad Kashmir was student of NUML and was also doing job at Pakistan Red Crescent. She was brutally murdered by a senior staff member of Pakistan Red Crescent. We need media help for justice because murderer has strong contacts. 
#JusticeForKianat https://t.co/A1ZtQbZ2lS",Tue Dec 01 17:06:31 +0000 2020,01/12/2020 17:06:31,,,,,968142979,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",http://pbs.twimg.com/profile_images/1321423530429394946/MlMe03za_normal.jpg,1814,1650,,http://twitter.com/GQAbbasi/statuses/1333819778771922946,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""AzharRa90291313"",""name"":""Azhar Rasheed"",""id"":862176807516225500,""id_str"":""862176807516225536"",""indices"":[3,19]}],""urls"":[]}"
1333818517792165893,stevewalker26,@imnaveenulhaq Tu b kabhi aya hoga pakistan job karne sorry bheek mangne ????,Tue Dec 01 17:01:30 +0000 2020,01/12/2020 17:01:30,,,701444521243058177,imnaveenulhaq,1156509688344776704,1333736647167418368,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1333536106462269442/jL60x74X_normal.jpg,29,177,kolachi,http://twitter.com/stevewalker26/statuses/1333818517792165893,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""imnaveenulhaq"",""name"":""Naveen ul haq"",""id"":701444521243058200,""id_str"":""701444521243058177"",""indices"":[0,14]}],""urls"":[]}"
1333818192985284608,qamar4everyone,"RT @uzmakhanone1: Kainat Tariq from Azad Kashmir was student of NUML and was also doing job at Pakistan Red Crescent.Brutally murdered by a senior staff member of Pakistan Red Crescent. Request authorities to investigate the matter.
????? ???? ??????? ???? ?? ??? ? 
Shame Federal Govt
@HamidMirPAK https://t.co/grbafkP0HJ",Tue Dec 01 17:00:13 +0000 2020,01/12/2020 17:00:13,,,,,2421851833,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1327865400420392961/dEbR7C1N_normal.jpg,397,1425,,http://twitter.com/qamar4everyone/statuses/1333818192985284608,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""uzmakhanone1"",""name"":""Uzma ??????"",""id"":836301527350411300,""id_str"":""836301527350411265"",""indices"":[3,16]}],""urls"":[]}"
1333818065805402112,malimiher,"@rajawaseem1511 @BBCHARDtalk @stephensackur Dear @stephensackur you simply did your job, it does not take a Geniuse to figure out that PMLN are a bunch of thugs. And this so called one-man-army @rajawaseem1511 and his ilk are the reason why Pakistan is in trouble.",Tue Dec 01 16:59:42 +0000 2020,01/12/2020 16:59:42,,,2510454085,rajawaseem1511,791946339143684097,1333789295941808128,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1216340265700614145/J1k4Jm47_normal.jpg,45,139,"Karachi, Pakistan",http://twitter.com/malimiher/statuses/1333818065805402112,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""rajawaseem1511"",""name"":""RajaWaseem(OneManArmy)"",""id"":2510454085,""id_str"":""2510454085"",""indices"":[0,15]},{""screen_name"":""BBCHARDtalk"",""name"":""BBC HARDtalk"",""id"":19717082,""id_str"":""19717082"",""indices"":[16,28]},{""screen_name"":""stephensackur"",""name"":""Stephen Sackur"",""id"":236453099,""id_str"":""236453099"",""indices"":[29,43]},{""screen_name"":""stephensackur"",""name"":""Stephen Sackur"",""id"":236453099,""id_str"":""236453099"",""indices"":[49,63]},{""screen_name"":""rajawaseem1511"",""name"":""RajaWaseem(OneManArmy)"",""id"":2510454085,""id_str"":""2510454085"",""indices"":[194,209]}],""urls"":[]}"
1333817905071484929,Aamirrasheeed,@Grasmere14 @Xadeejournalist I already admitted that IK did a good job in hard talk. In contrary to dis I believe Ishaq Dar was expecting most of questions about financial performance of Pakistan but he was grilled on personal questions. Overall it wasn't so bad as being portrayed by PTI social media wing.,Tue Dec 01 16:59:04 +0000 2020,01/12/2020 16:59:04,,,1575037208,Grasmere14,2614109780,1333813699824521225,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1289979311357820929/MYWgzLJp_normal.jpg,2446,2352, North America,http://twitter.com/Aamirrasheeed/statuses/1333817905071484929,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""Grasmere14"",""name"":""coffee4"",""id"":1575037208,""id_str"":""1575037208"",""indices"":[0,11]},{""screen_name"":""Xadeejournalist"",""name"":""Mubashir Zaidi"",""id"":286613468,""id_str"":""286613468"",""indices"":[12,28]}],""urls"":[]}"
1333817788943790081,RanaRizwan01,"@stephensackur man amazing today you have roasted sharif's mafia.. All Pakistan salute you...

Excellent job. @BBCHARDtalk",Tue Dec 01 16:58:36 +0000 2020,01/12/2020 16:58:36,,,236453099,stephensackur,3942408077,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://pbs.twimg.com/profile_images/1240167100653715457/HA5LsQPe_normal.jpg,660,2472,United Arab Emirates,http://twitter.com/RanaRizwan01/statuses/1333817788943790081,"{""hashtags"":[],""symbols"":[],""user_mentions"":[{""screen_name"":""stephensackur"",""name"":""Stephen Sackur"",""id"":236453099,""id_str"":""236453099"",""indices"":[0,14]},{""screen_name"":""BBCHARDtalk"",""name"":""BBC HARDtalk"",""id"":19717082,""id_str"":""19717082"",""indices"":[110,122]}],""urls"":[]}"
